,Dt (mcs),Dr (mm)
241,39.399993896484375,511.5788856132197
242,299.44000244140625,379.1088218919683
243,160.6199951171875,265.74650919177316
244,1118.1600036621094,362.48509077139363
245,136.31997680664062,158.3231373960093
246,625.4800109863281,415.6573326390062
247,7.839996337890625,274.547338050825
248,532.9400024414062,396.0439280835152
249,603.1600036621094,258.9681228030257
250,63.540008544921875,139.49512852641158
251,154.42001342773438,399.03406463774775
252,590.7200012207031,683.723803587581
253,251.60000610351562,303.83579163184936
254,87.760009765625,174.59305377950136
255,145.77999877929688,307.64334227231217
256,344.3800048828125,235.74262841241088
257,112.93997192382812,203.9384751682731
258,864.0,801.4464900847927
259,117.75997924804688,811.0529829048018
260,300.4200134277344,251.88492960398207
261,18.519989013671875,1612.8198494724181
262,601.0799865722656,309.48144486342363
263,25.480010986328125,174.85003396147192
264,291.03997802734375,549.6612608598986
265,22.1199951171875,718.421097343572
266,16.53997802734375,169.81888176756297
267,153.42001342773438,1460.1478300688166
268,744.8999938964844,1806.4995029922434
269,262.05999755859375,345.80261229509966
270,408.08001708984375,455.9533256405347
271,65.01998901367188,305.1707415428854
272,173.1400146484375,468.7236001442642
273,61.3800048828125,259.98124211663946
274,180.55999755859375,274.38518904993305
275,28.980010986328125,401.7131343572937
276,188.6199951171875,102.8029187913859
277,139.67999267578125,625.3903055228587
278,211.67999267578125,605.2397925159543
279,112.79998779296875,628.4444932298127
280,997.4599914550781,384.09322149103656
281,131.1400146484375,286.54376026707547
282,69.82000732421875,421.35045983882117
283,13.100006103515625,131.6302272749792
284,331.58001708984375,168.95143737493513
285,49.79998779296875,255.1373385920554
286,3.360015869140625,227.96658546686274
287,15.0,685.8420752145054
288,118.83999633789062,552.8334363538061
289,47.6199951171875,278.30597050388235
290,342.5400085449219,398.58432563652167
291,197.62002563476562,428.0375602533893
292,42.279998779296875,404.1646967553049
293,35.579986572265625,77.56194195378048
294,31.52001953125,845.8600055007121
295,59.44000244140625,1323.7348498700642
296,810.3600158691406,621.5536146093594
297,49.839996337890625,483.2572950661139
298,422.1800231933594,323.86181106816184
299,128.80001831054688,469.7412208191931
300,242.32000732421875,107.2858109314446
301,126.22000122070312,287.0640338309466
302,168.6199951171875,328.0384620858925
303,684.1199951171875,199.228420425595
304,364.6199951171875,219.29947515647657
305,131.15997314453125,310.01014256075763
306,468.1199951171875,249.21845334755872
307,207.87997436523438,95.31037847479459
308,62.5,423.821569349476
309,294.15997314453125,322.40137771634613
310,247.69998168945312,677.1386931216103
311,350.4800109863281,446.9276118360668
312,165.55999755859375,173.51948143401918
313,107.29998779296875,540.7753678839881
314,137.16000366210938,125.72220170106449
315,296.739990234375,973.3245175414995
316,483.0600280761719,676.670902520521
317,161.42001342773438,700.9742094237233
318,77.82000732421875,296.13500505709897
319,27.639984130859375,96.16595083618077
320,93.1400146484375,363.7954092491437
321,563.3799743652344,134.13279680550838
322,180.70001220703125,310.3014695154353
323,151.0,403.6148819644622
324,521.5599975585938,172.15544045472492
325,239.82000732421875,158.0568532128329
326,118.83999633789062,226.70129846713505
327,48.459991455078125,368.5475211147537
328,1.839996337890625,323.07702429312786
329,54.3800048828125,302.3188731729863
330,104.48001098632812,239.64220645654075
331,515.6000061035156,421.90029312876624
332,419.8999938964844,325.94800615748943
333,718.8800048828125,629.5797776655162
334,64.83999633789062,601.267311844728
335,68.6199951171875,273.411008824755
336,64.54000854492188,218.7613298813867
337,334.5199890136719,1255.0180150922174
338,1.560028076171875,455.9641033934695
339,567.5,460.9375278878832
340,42.3599853515625,561.7248204263366
341,19.0,554.5842459129213
342,209.96002197265625,206.30694808646692
343,218.47998046875,393.0347503191379
344,82.27999877929688,1084.3429095456338
345,70.87997436523438,1540.9430596356444
346,157.58001708984375,450.5852404010303
347,159.8800048828125,834.753857653958
348,847.1800231933594,571.0113681455662
349,86.53997802734375,294.26041942114165
350,248.53997802734375,315.6141252206021
351,22.5999755859375,281.7294935958585
352,250.56002807617188,193.22017023322027
353,174.54000854492188,717.2411328068625
354,708.2799987792969,646.3813408685106
355,274.6399841308594,98.01740952116477
356,208.84002685546875,193.27136024748478
357,77.16000366210938,295.075051858281
358,135.1199951171875,73.7068670084144
359,101.760009765625,548.6433526004528
360,47.219970703125,599.7613945390493
361,395.7799987792969,281.1593797617746
362,39.399993896484375,535.7271227767271
363,111.79998779296875,524.207800192229
364,89.04000854492188,205.0399950495201
365,122.239990234375,281.2768238499871
366,142.48001098632812,501.9727347397686
367,195.05999755859375,498.54001664372083
368,8.600006103515625,365.8633648872717
369,551.5399780273438,226.52966027251935
370,180.17999267578125,207.02129605602
371,153.5,1026.4619535333477
372,37.6199951171875,668.3981073868831
373,29.800018310546875,813.5369347743652
374,37.079986572265625,164.1362507371629
375,1.8800048828125,229.43996694065095
376,127.36001586914062,370.969265496259
377,267.79998779296875,629.5793321521971
378,347.05999755859375,412.24068385566216
379,484.760009765625,401.3212774273636
380,434.1600036621094,865.140069157027
381,140.0999755859375,626.6977169548628
382,159.16000366210938,143.9369076461528
383,27.660003662109375,410.1908025782272
384,73.05999755859375,307.2970994997169
385,114.3800048828125,521.5660375373595
386,95.13998413085938,292.84050738787073
387,104.94000244140625,600.0109481849322
388,434.8000183105469,309.12475265372643
389,33.739990234375,425.15218108370993
390,544.3599853515625,271.28938197809885
391,266.1999816894531,253.57097247820263
392,143.03997802734375,1165.9754434909478
393,294.6600036621094,112.45880293521354
394,1170.4599914550781,519.5562326332496
395,110.6400146484375,196.5514679185095
396,358.53997802734375,364.57417561998045
